id,campus_propio,comunidad,campus_dominante_de_su_comunidad
FORTIGATE-1800F-CENTRAL,Campus Central,15,Campus Balzay
INTERNET-MPLS,Nube MPLS,15,Campus Balzay
PE1-CENTRAL,Campus Central,15,Campus Balzay
PE2-CENTRAL,Campus Central,15,Campus Balzay
ROUTER-CAMPUS-CENTRO-HISTORICO,Sede Centro Historico,20,Campus Central
ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,15,Campus Balzay
ROUTER-CAMPUS-MUSEO,Sede Museo,19,Campus Balzay
ROUTER-CAMPUS-PARAISO,Campus Paraiso,15,Campus Balzay
ROUTER-CAMPUS-YANUNCAY,Campus Yanuncay,15,Campus Balzay
SW-ARUBA-CENTRO-HISTORICO,Sede Centro Historico,20,Campus Central
SW-ARUBA-MUSEO,Sede Museo,19,Campus Balzay
